Node Name, Edge Length
r,3.44123
rb,6.0051
rbf,3.98556
rbff,5.9135
rbfff,2.05159
rbffff,2.34788
rbfffff,2.05159
rbffffb,0.038394
rbffffbb,3.14342
rbfffb,7.58768
rbfffbf,15.2639
rbffb,6.0051
rbffbf,2.05159
rbffbb,6.01334
rbffbbf,7.33717
rbfb,18.6592
rbfbf,7.95693
rbfbff,7.99602
rbfbfff,3.98556
rbfbfffb,10.7311
rbfbfffbf,0.0390911
rbfbfffbb,1.91667
rbfbfffbbf,1.91667
rbb,2.63253
rbbf,3.1832
rbbff,2.6611
rbbfff,2.6611
rbbfb,11.8637
rbbb,14.4962
rbbbf,14.4962
rbbbfb,5.96529
rbbbfbf,2.00256
rbbbfbff,0.0060654
rbbbfbfff,1.02928
rbbbfbffb,1.8714
rbbbfbfb,5.90863
rbbbfbfbf,3.42439
rbbbfbfbfb,5.90863
rbbbfbfbb,2.6079
rbbbfbfbbf,5.98088
rbbbfbfbbff,5.98088
rbbbfbb,3.56097
rbbbfbbb,8.72365
rbbbb,0.963243
